stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding
1.425,425,"Passeig de Gràcia",41.390057,2.167846,,0,P.6660213,1
1.214,214,"Tetuan",41.394887,2.175559,,0,P.6660214,1
1.215,215,"Monumental",41.400524,2.179462,,0,P.6660215,1
1.216,216,"Sagrada Família",41.403985,2.175106,,0,P.6660216,1
1.523,523,"Sagrada Família",41.403835,2.173618,,0,P.6660216,1
1.217,217,"Encants",41.407236,2.1827,,0,P.6660217,1
1.219,219,"Bac de Roda",41.415162,2.195503,,0,P.6660219,1
1.220,220,"Sant Martí",41.419064,2.200724,,0,P.6660220,1
1.221,221,"La Pau",41.424033,2.205608,,0,P.6660221,1
1.413,413,"La Pau",41.423678,2.205194,,0,P.6660221,1
1.222,222,"Verneda",41.430004,2.209883,,0,P.6660222,1
1.223,223,"Artigues | Sant Adrià",41.433848,2.217772,,0,P.6660223,1
1.224,224,"Sant Roc",41.435831,2.228606,,0,P.6660224,1
1.225,225,"Gorg",41.440237,2.233441,,0,P.6660225,1
1.936,936,"Gorg",41.440443,2.233892,,0,P.6660225,1
1.226,226,"Pep Ventura",41.443905,2.237959,,0,P.6660226,1
1.227,227,"Badalona Pompeu Fabra",41.449054,2.244097,,0,P.6660227,1
1.314,314,"Zona Universitària",41.384115,2.111179,,0,P.6660314,1
1.918,918,"Zona Universitària",41.383742,2.111621,,0,P.6660314,1
1.315,315,"Palau Reial",41.38598,2.118538,,0,P.6660315,1
1.316,316,"Maria Cristina",41.387816,2.125791,,0,P.6660316,1
1.317,317,"Les Corts",41.38412,2.130871,,0,P.6660317,1
1.318,318,"Plaça del Centre",41.381922,2.135884,,0,P.6660318,1
1.319,319,"Sants Estació",41.381598,2.140992,,0,P.6660319,1
1.518,518,"Sants Estació",41.379955,2.140398,,0,P.6660319,1
1.320,320,"Tarragona",41.378493,2.145336,,0,P.6660320,1
1.322,322,"Poble Sec",41.374996,2.160245,,0,P.6660322,1
1.324,324,"Drassanes",41.376538,2.175664,,0,P.6660324,1
1.325,325,"Liceu",41.381445,2.17303,,0,P.6660325,1
1.328,328,"Diagonal",41.395888,2.160047,,0,P.6660328,1
1.521,521,"Diagonal",41.394435,2.15883,,0,P.6660328,1
1.329,329,"Fontana",41.402009,2.153022,,0,P.6660329,1
1.330,330,"Lesseps",41.405738,2.150407,,0,P.6660330,1
1.331,331,"Vallcarca",41.411975,2.144337,,0,P.6660331,2
1.332,332,"Penitents",41.418279,2.140972,,0,P.6660332,1
1.333,333,"Vall d'Hebron",41.425283,2.142565,,0,P.6660333,1
1.534,534,"Vall d'Hebron",41.424993,2.142356,,0,P.6660333,1
1.334,334,"Montbau",41.43062,2.145039,,0,P.6660334,1
1.335,335,"Mundet",41.435645,2.148472,,0,P.6660335,1
1.336,336,"Valldaura",41.437996,2.156878,,0,P.6660336,1
1.337,337,"Canyelles",41.441754,2.166388,,0,P.6660337,1
1.338,338,"Roquetes",41.44767,2.176098,,0,P.6660338,1
1.339,339,"Trinitat Nova",41.4495,2.184097,,0,P.6660339,1
1.434,434,"Trinitat Nova",41.449156,2.182434,,0,P.6660339,1
1.1136,1136,"Trinitat Nova",41.4492,2.182366,,0,P.6660339,1
1.414,414,"Besòs",41.419901,2.210231,,0,P.6660414,1
1.415,415,"Besòs Mar",41.415099,2.216082,,0,P.6660415,1
1.416,416,"El Maresme | Fòrum",41.41178,2.216692,,0,P.6660416,1
1.417,417,"Selva de Mar",41.408001,2.209122,,0,P.6660417,1
1.418,418,"Poblenou",41.403716,2.203371,,0,P.6660418,1
1.419,419,"Llacuna",41.399425,2.197712,,0,P.6660419,1
1.420,420,"Bogatell",41.395107,2.192012,,0,P.6660420,1
1.421,421,"Ciutadella | Vila Olímpica",41.386687,2.192991,,0,P.6660421,2
1.422,422,"Barceloneta",41.381811,2.184787,,0,P.6660422,1
1.423,423,"Jaume I",41.384126,2.178531,,0,P.6660423,1
1.426,426,"Girona",41.39492,2.170825,,0,P.6660426,1
1.427,427,"Verdaguer",41.400365,2.16806,,0,P.6660427,2
1.522,522,"Verdaguer",41.398952,2.167089,,0,P.6660427,2
1.428,428,"Joanic",41.406427,2.163225,,0,P.6660428,1
1.429,429,"Alfons X",41.412377,2.166382,,0,P.6660429,1
1.430,430,"Guinardó | Hospital de Sant Pau ",41.415962,2.173989,,0,P.6660430,1
1.431,431,"Maragall",41.423104,2.177397,,0,P.6660431,2
1.528,528,"Maragall",41.425045,2.176485,,0,P.6660431,2
1.432,432,"Llucmajor",41.436985,2.173343,,0,P.6660432,1
1.433,433,"Via Júlia",41.44373,2.17855,,0,P.6660433,1
1.509,509,"Cornellà Centre",41.35729,2.070428,,0,P.6660509,1
1.510,510,"Gavarra",41.357993,2.079269,,0,P.6660510,1
1.511,511,"Sant Ildefons",41.363381,2.084393,,0,P.6660511,1
1.512,512,"Can Boixeres",41.366571,2.091506,,0,P.6660512,1
1.513,513,"Can Vidalet",41.371279,2.099445,,0,P.6660513,1
1.514,514,"Pubilla Cases",41.373838,2.107209,,0,P.6660514,1
1.515,515,"Collblanc",41.375743,2.119195,,0,P.6660515,1
1.916,916,"Collblanc",41.376056,2.118397,,0,P.6660515,1
1.516,516,"Badal",41.375581,2.127402,,0,P.6660516,1
1.519,519,"Entença",41.384467,2.145619,,0,P.6660519,1
1.520,520,"Hospital Clínic",41.388608,2.151081,,0,P.6660520,1
1.524,524,"Sant Pau | Dos de Maig",41.410753,2.176016,,0,P.6660524,1
1.525,525,"Camp de l'Arpa",41.41506,2.181497,,0,P.6660525,1
1.527,527,"Congrés",41.42344,2.181186,,0,P.6660527,1
1.529,529,"Virrei Amat",41.429703,2.174913,,0,P.6660529,1
1.530,530,"Vilapicina",41.430465,2.167619,,0,P.6660530,1
1.531,531,"Horta",41.429692,2.159974,,0,P.6660531,1
1.532,532,"El Carmel",41.42445,2.155099,,0,P.6660532,1
1.533,533,"El Coll | La Teixonera",41.421997,2.148348,,0,P.6660533,1
1.901,901,"Aeroport T1",41.288295,2.071152,,0,P.6660901,1
1.903,903,"Aeroport T2",41.303823,2.073113,,0,P.6660903,1
1.904,904,"Mas Blau",41.311225,2.073471,,0,P.6660904,1
1.905,905,"Parc Nou",41.316628,2.087929,,0,P.6660905,1
1.906,906,"Cèntric",41.32225,2.093463,,0,P.6660906,1
1.907,907,"El Prat Estació",41.331993,2.089927,,0,P.6660907,1
1.909,909,"Les Moreres",41.329119,2.103073,,0,P.6660909,1
1.910,910,"Mercabarna",41.333485,2.111254,,0,P.6660910,1
1.911,911,"Parc Logístic",41.341664,2.127401,,0,P.6660911,1
1.912,912,"Fira",41.351988,2.130452,,0,P.6660912,1
1.913,913,"Europa | Fira",41.35756,2.125924,,0,P.6660913,1
1.914,914,"Can Tries | Gornal",41.360894,2.117993,,0,P.6660914,1
1.932,932,"Onze de Setembre",41.429559,2.193564,,0,P.6660932,1
1.933,933,"Bon Pastor",41.436203,2.205294,,0,P.6660933,1
1.934,934,"Llefià",41.44136,2.216906,,0,P.6660934,1
1.935,935,"La Salut",41.442817,2.224737,,0,P.6660935,1
1.940,940,"Can Peixauet",41.443986,2.210027,,0,P.6660940,1
1.941,941,"Santa Rosa",41.44685,2.215809,,0,P.6660941,1
1.943,943,"Església Major",41.454797,2.212177,,0,P.6660943,1
1.944,944,"Singuerlín",41.459413,2.205429,,0,P.6660944,1
1.945,945,"Can Zam",41.456666,2.198569,,0,P.6660945,1
1.954,954,"Zona Franca",41.342976,2.144964,,0,P.6660954,1
1.956,956,"Foc",41.356161,2.141804,,0,P.6660956,1
1.957,957,"Foneria",41.361099,2.138229,,0,P.6660957,1
1.958,958,"Ciutat de la Justícia",41.363137,2.132315,,0,P.6660958,1
1.959,959,"Provençana",41.361354,2.1241,,0,P.6660959,1
1.1137,1137,"Casa de l'Aigua",41.451278,2.18484,,0,P.6661137,1
1.1138,1138,"Torre Baró | Vallbona",41.459196,2.179884,,0,P.6661138,1
1.1139,1139,"Ciutat Meridiana",41.460808,2.17465,,0,P.6661139,1
1.1140,1140,"Can Cuiàs",41.462413,2.173059,,0,P.6661140,1
